hour,assault,burglary,larceny_theft,missing_person,non_criminal,other_offenses,suspicious_occ,vandalism,vehicle_related,warrants
0,60,15,124,12,45,105,23,25,18,16
1,41,21,75,7,32,50,18,32,10,12
2,55,15,49,1,11,39,16,24,15,10
3,39,17,34,4,21,38,9,21,7,10
4,12,29,27,2,11,17,7,18,6,2
5,16,17,24,4,12,16,4,16,8,4
6,21,14,47,7,35,26,7,16,14,10
7,26,12,46,9,38,42,13,16,21,17
8,37,18,96,15,76,67,16,19,18,15
9,41,23,122,22,68,68,26,18,23,15
10,52,16,152,18,76,77,27,22,27,17
11,47,17,182,20,83,63,35,21,17,15
12,51,23,188,24,115,100,37,41,33,30
13,62,16,205,13,76,83,27,41,20,22
14,51,22,206,19,74,91,23,33,21,24
15,47,32,198,22,76,98,29,37,29,29
16,53,21,231,9,87,117,27,37,40,31
17,57,36,295,17,96,100,28,49,48,30
18,54,31,345,20,71,62,27,70,53,22
19,79,32,357,9,82,94,29,57,34,18
20,62,21,284,13,67,62,25,51,48,21
21,49,26,220,5,51,79,13,50,44,10
22,56,24,157,22,70,82,16,60,49,20
23,61,19,154,12,73,78,24,48,39,22